baseline,start_id,actual_left_distance_m,actual_right_distance_m,actual_tie,predicted_choice,predicted_left_probability,predicted_right_probability,predicted_left_time_m,predicted_right_time_m,accuracy_credit,regret_m
B0,start_00,2.5,4.5,False,TIE,0.20689655172413793,0.20689655172413793,1.7777777777777777,1.7777777777777777,0.5,1.0
B0,start_01,3.5,4.5,False,TIE,0.23255813953488372,0.23255813953488372,1.7833333333333334,1.7833333333333334,0.5,0.5
B0,start_02,3.5,4.5,False,TIE,0.23552123552123552,0.23552123552123552,1.8114754098360655,1.8114754098360655,0.5,0.5
B0,start_03,4.5,4.5,True,TIE,0.2885375494071146,0.2885375494071146,1.8082191780821917,1.8082191780821917,,0.0
B0,start_04,2.5,4.5,False,TIE,0.23552123552123552,0.23552123552123552,1.8114754098360655,1.8114754098360655,0.5,1.0
B0,start_05,3.5,4.5,False,TIE,0.23255813953488372,0.23255813953488372,1.7833333333333334,1.7833333333333334,0.5,0.5
B0,start_06,3.0,4.5,False,TIE,0.2885375494071146,0.2885375494071146,1.8082191780821917,1.8082191780821917,0.5,0.75
B0,start_07,2.5,4.5,False,TIE,0.26459143968871596,0.26459143968871596,1.8308823529411764,1.8308823529411764,0.5,1.0
B0,start_08,4.5,4.5,True,TIE,0.23255813953488372,0.23255813953488372,1.7833333333333334,1.7833333333333334,,0.0
B0,start_09,4.5,4.5,True,TIE,0.26459143968871596,0.26459143968871596,1.8308823529411764,1.8308823529411764,,0.0
B0,start_10,4.5,4.5,True,TIE,0.2885375494071146,0.2885375494071146,1.8082191780821917,1.8082191780821917,,0.0
B0,start_11,4.5,4.5,True,TIE,0.26459143968871596,0.26459143968871596,1.8308823529411764,1.8308823529411764,,0.0
B0,start_12,4.5,3.0,False,TIE,0.20689655172413793,0.20689655172413793,1.7777777777777777,1.7777777777777777,0.5,0.75
B0,start_13,4.5,4.5,True,TIE,0.23552123552123552,0.23552123552123552,1.8114754098360655,1.8114754098360655,,0.0
B0,start_14,4.5,4.5,True,TIE,0.2885375494071146,0.2885375494071146,1.8082191780821917,1.8082191780821917,,0.0
B0,start_15,4.5,2.5,False,TIE,0.23255813953488372,0.23255813953488372,1.7833333333333334,1.7833333333333334,0.5,1.0
B0,start_16,4.5,3.0,False,TIE,0.20689655172413793,0.20689655172413793,1.7777777777777777,1.7777777777777777,0.5,0.75
B0,start_17,4.5,3.0,False,TIE,0.26459143968871596,0.26459143968871596,1.8308823529411764,1.8308823529411764,0.5,0.75
B0,start_18,4.5,4.0,False,TIE,0.20689655172413793,0.20689655172413793,1.7777777777777777,1.7777777777777777,0.5,0.25
B0,start_19,4.5,3.0,False,TIE,0.23552123552123552,0.23552123552123552,1.8114754098360655,1.8114754098360655,0.5,0.75
B1,start_00,2.5,4.5,False,LEFT,0.359189724179667,0.20274269224570818,3.069175024896856,2.794983283539622,1.0,0.0
B1,start_01,3.5,4.5,False,RIGHT,0.29916110241402155,0.3252215859221552,2.7998863157206557,3.1602229738968313,0.0,1.0
B1,start_02,3.5,4.5,False,RIGHT,0.3088897847690942,0.3155180708887616,2.9799929923831563,3.080054601482524,0.0,1.0
B1,start_03,4.5,4.5,True,RIGHT,0.3716153496920393,0.3777038436103791,2.9953263889576514,3.0546705257652906,,0.0
B1,start_04,2.5,4.5,False,RIGHT,0.3088897847690942,0.3155180708887616,2.9799929923831563,3.080054601482524,0.0,2.0
B1,start_05,3.5,4.5,False,RIGHT,0.29916110241402155,0.3252215859221552,2.7998863157206557,3.1602229738968313,0.0,1.0
B1,start_06,3.0,4.5,False,RIGHT,0.3716153496920393,0.3777038436103791,2.9953263889576514,3.0546705257652906,0.0,1.5
B1,start_07,2.5,4.5,False,LEFT,0.3679725769957264,0.31891379075379855,3.0607932988539863,3.08687327581682,1.0,0.0
B1,start_08,4.5,4.5,True,RIGHT,0.29916110241402155,0.3252215859221552,2.7998863157206557,3.1602229738968313,,0.0
B1,start_09,4.5,4.5,True,LEFT,0.3679725769957264,0.31891379075379855,3.0607932988539863,3.08687327581682,,0.0
B1,start_10,4.5,4.5,True,RIGHT,0.3716153496920393,0.3777038436103791,2.9953263889576514,3.0546705257652906,,0.0
B1,start_11,4.5,4.5,True,LEFT,0.3679725769957264,0.31891379075379855,3.0607932988539863,3.08687327581682,,0.0
B1,start_12,4.5,3.0,False,LEFT,0.359189724179667,0.20274269224570818,3.069175024896856,2.794983283539622,0.0,1.5
B1,start_13,4.5,4.5,True,RIGHT,0.3088897847690942,0.3155180708887616,2.9799929923831563,3.080054601482524,,0.0
B1,start_14,4.5,4.5,True,RIGHT,0.3716153496920393,0.3777038436103791,2.9953263889576514,3.0546705257652906,,0.0
B1,start_15,4.5,2.5,False,RIGHT,0.29916110241402155,0.3252215859221552,2.7998863157206557,3.1602229738968313,1.0,0.0
B1,start_16,4.5,3.0,False,LEFT,0.359189724179667,0.20274269224570818,3.069175024896856,2.794983283539622,0.0,1.5
B1,start_17,4.5,3.0,False,LEFT,0.3679725769957264,0.31891379075379855,3.0607932988539863,3.08687327581682,0.0,1.5
B1,start_18,4.5,4.0,False,LEFT,0.359189724179667,0.20274269224570818,3.069175024896856,2.794983283539622,0.0,0.5
B1,start_19,4.5,3.0,False,RIGHT,0.3088897847690942,0.3155180708887616,2.9799929923831563,3.080054601482524,1.0,0.0
B2,start_00,2.5,4.5,False,RIGHT,1.0,1.0,2.2132360107127838,2.0783318296679663,0.0,2.0
B2,start_01,3.5,4.5,False,LEFT,0.33762476304693156,0.2857780980415062,3.286821612932341,3.2857359253780616,1.0,0.0
B2,start_02,3.5,4.5,False,LEFT,0.3538112144565933,0.307199297340616,2.613693880663843,2.552203573959423,1.0,0.0
B2,start_03,4.5,4.5,True,LEFT,0.44341100968548874,0.39699162355589745,2.6555391893308373,2.581527994504908,,0.0
B2,start_04,2.5,4.5,False,LEFT,0.2648573202447722,0.21824540312879487,1.9873002428176756,1.9258099361132555,1.0,0.0
B2,start_05,3.5,4.5,False,LEFT,0.25397596998412053,0.20212930497869513,3.005473188044207,3.004387500489928,1.0,0.0
B2,start_06,3.0,4.5,False,LEFT,0.2229273853110313,0.1765079991814402,3.6167548022444667,3.5427436074185383,1.0,0.0
B2,start_07,2.5,4.5,False,LEFT,0.2680279361417705,0.2073933830917813,2.2225102742024574,2.158711737708969,1.0,0.0
