start_id,start_bin,direction,first_physical_step,first_physical_distance_m,first_physical_frame_id,first_model_visible_step,first_model_visible_distance_m,first_model_visible_frame_id,robust_event_within_4m,maximum_distance_m
start_00,LEFT_BIASED,LEFT,3,1.5,11655,5,2.5,11663,True,4.0
start_00,LEFT_BIASED,RIGHT,,,,,,,False,4.0
start_01,LEFT_BIASED,LEFT,5,2.5,11731,7,3.5,11739,True,4.0
start_01,LEFT_BIASED,RIGHT,,,,,,,False,4.0
start_02,LEFT_BIASED,LEFT,6,3.0,11803,7,3.5,11807,True,4.0
start_02,LEFT_BIASED,RIGHT,,,,,,,False,4.0
start_03,LEFT_BIASED,LEFT,3,1.5,11859,,,,False,4.0
start_03,LEFT_BIASED,RIGHT,,,,,,,False,4.0
start_04,LEFT_BIASED,LEFT,3,1.5,11927,5,2.5,11935,True,4.0
start_04,LEFT_BIASED,RIGHT,,,,,,,False,4.0
start_05,LEFT_BIASED,LEFT,5,2.5,12003,7,3.5,12011,True,4.0
start_05,LEFT_BIASED,RIGHT,,,,,,,False,4.0
start_06,LEFT_BIASED,LEFT,5,2.5,12071,6,3.0,12075,True,4.0
start_06,LEFT_BIASED,RIGHT,,,,,,,False,4.0
start_07,LEFT_BIASED,LEFT,3,1.5,12131,5,2.5,12139,True,4.0
start_07,LEFT_BIASED,RIGHT,,,,,,,False,4.0
start_08,NEAR_CENTER,LEFT,,,,,,,False,4.0
start_08,NEAR_CENTER,RIGHT,8,4.0,12251,,,,False,4.0
start_09,NEAR_CENTER,LEFT,8,4.0,12287,,,,False,4.0
start_09,NEAR_CENTER,RIGHT,,,,,,,False,4.0
start_10,NEAR_CENTER,LEFT,,,,,,,False,4.0
start_10,NEAR_CENTER,RIGHT,8,4.0,12387,,,,False,4.0
start_11,NEAR_CENTER,LEFT,,,,,,,False,4.0
start_11,NEAR_CENTER,RIGHT,8,4.0,12455,,,,False,4.0
start_12,RIGHT_BIASED,LEFT,,,,,,,False,4.0
start_12,RIGHT_BIASED,RIGHT,4,2.0,12507,6,3.0,12515,True,4.0
start_13,RIGHT_BIASED,LEFT,,,,,,,False,4.0
start_13,RIGHT_BIASED,RIGHT,4,2.0,12575,,,,False,4.0
start_14,RIGHT_BIASED,LEFT,,,,,,,False,4.0
start_14,RIGHT_BIASED,RIGHT,6,3.0,12651,,,,False,4.0
start_15,RIGHT_BIASED,LEFT,,,,,,,False,4.0
start_15,RIGHT_BIASED,RIGHT,3,1.5,12707,5,2.5,12715,True,4.0
start_16,RIGHT_BIASED,LEFT,,,,,,,False,4.0
start_16,RIGHT_BIASED,RIGHT,4,2.0,12779,6,3.0,12787,True,4.0
start_17,RIGHT_BIASED,LEFT,,,,,,,False,4.0
start_17,RIGHT_BIASED,RIGHT,4,2.0,12847,6,3.0,12855,True,4.0
start_18,RIGHT_BIASED,LEFT,,,,,,,False,4.0
start_18,RIGHT_BIASED,RIGHT,6,3.0,12923,8,4.0,12931,True,4.0
start_19,RIGHT_BIASED,LEFT,,,,,,,False,4.0
start_19,RIGHT_BIASED,RIGHT,4,2.0,12983,6,3.0,12991,True,4.0
