start_id,direction,step_index,relative_distance_m,frame_id,target_coverage,contour_span_over_target_bbox,contour_median_x_px,boundary_type,boundary_penetration_px,first_physical_termination,model_visible_termination,target_side_fraction,external_side_fraction
start_00,LEFT,0,0.0,11643,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,LEFT,1,0.5,11647,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,LEFT,2,1.0,11651,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,LEFT,3,1.5,11655,0.8822623697916666,1.0,3.0,PHYSICAL_TERMINATION,3.0,True,False,1.0,1.0
start_00,LEFT,4,2.0,11659,0.8711263020833333,1.0,11.0,PHYSICAL_TERMINATION,11.0,True,False,1.0,1.0
start_00,LEFT,5,2.5,11663,0.8599186197916666,1.0,20.0,PHYSICAL_TERMINATION,20.0,True,True,1.0,1.0
start_00,LEFT,6,3.0,11667,0.8486848958333333,1.0,28.0,PHYSICAL_TERMINATION,28.0,True,True,1.0,1.0
start_00,LEFT,7,3.5,11671,0.8374967447916667,1.0,36.0,PHYSICAL_TERMINATION,36.0,True,True,1.0,1.0
start_00,LEFT,8,4.0,11675,0.826318359375,1.0,45.0,PHYSICAL_TERMINATION,45.0,True,True,1.0,1.0
start_00,RIGHT,0,0.0,11643,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,RIGHT,1,0.5,11679,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,RIGHT,2,1.0,11683,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,RIGHT,3,1.5,11687,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,RIGHT,4,2.0,11691,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,RIGHT,5,2.5,11695,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,RIGHT,6,3.0,11699,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,RIGHT,7,3.5,11703,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_00,RIGHT,8,4.0,11707,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,LEFT,0,0.0,11711,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,LEFT,1,0.5,11715,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,LEFT,2,1.0,11719,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,LEFT,3,1.5,11723,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,LEFT,4,2.0,11727,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,LEFT,5,2.5,11731,0.8808723958333333,1.0,4.0,PHYSICAL_TERMINATION,4.0,True,False,1.0,1.0
start_01,LEFT,6,3.0,11735,0.8696354166666667,1.0,12.0,PHYSICAL_TERMINATION,12.0,True,False,1.0,1.0
start_01,LEFT,7,3.5,11739,0.8584114583333333,1.0,21.0,PHYSICAL_TERMINATION,21.0,True,True,1.0,1.0
start_01,LEFT,8,4.0,11743,0.8466666666666667,1.0,29.0,PHYSICAL_TERMINATION,29.0,True,False,0.6338028169014085,1.0
start_01,RIGHT,0,0.0,11711,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,RIGHT,1,0.5,11747,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,RIGHT,2,1.0,11751,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,RIGHT,3,1.5,11755,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,RIGHT,4,2.0,11759,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,RIGHT,5,2.5,11763,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,RIGHT,6,3.0,11767,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,RIGHT,7,3.5,11771,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_01,RIGHT,8,4.0,11775,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,LEFT,0,0.0,11779,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,LEFT,1,0.5,11783,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,LEFT,2,1.0,11787,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,LEFT,3,1.5,11791,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,LEFT,4,2.0,11795,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,LEFT,5,2.5,11799,0.88642578125,0.4225352112676056,2.0,UNRESOLVED,2.0,False,False,1.0,0.9222222222222223
start_02,LEFT,6,3.0,11803,0.875908203125,1.0,8.0,PHYSICAL_TERMINATION,8.0,True,False,1.0,1.0
start_02,LEFT,7,3.5,11807,0.8641731770833333,1.0,16.0,PHYSICAL_TERMINATION,16.0,True,True,1.0,1.0
