operator_state,operator_boundary_pixel,operator_notes,frame_id,sequence_id,facade_id,direction,distance_m,step_index,rgb_path
,,,505454,surface_alpha/NORMAL_LOCK/15m/LEFT,surface_alpha,LEFT,15.0,48,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/LEFT/left_0048_rgb.png
,,,505455,surface_alpha/NORMAL_LOCK/15m/LEFT,surface_alpha,LEFT,15.0,49,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/LEFT/left_0049_rgb.png
,,,505456,surface_alpha/NORMAL_LOCK/15m/LEFT,surface_alpha,LEFT,15.0,50,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/LEFT/left_0050_rgb.png
,,,505457,surface_alpha/NORMAL_LOCK/15m/LEFT,surface_alpha,LEFT,15.0,51,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/LEFT/left_0051_rgb.png
,,,505458,surface_alpha/NORMAL_LOCK/15m/LEFT,surface_alpha,LEFT,15.0,52,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/LEFT/left_0052_rgb.png
,,,505459,surface_alpha/NORMAL_LOCK/15m/LEFT,surface_alpha,LEFT,15.0,53,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/LEFT/left_0053_rgb.png
,,,505460,surface_alpha/NORMAL_LOCK/15m/LEFT,surface_alpha,LEFT,15.0,54,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/LEFT/left_0054_rgb.png
,,,505542,surface_alpha/NORMAL_LOCK/15m/RIGHT,surface_alpha,RIGHT,15.0,47,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/RIGHT/right_0047_rgb.png
,,,505543,surface_alpha/NORMAL_LOCK/15m/RIGHT,surface_alpha,RIGHT,15.0,48,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/RIGHT/right_0048_rgb.png
,,,505544,surface_alpha/NORMAL_LOCK/15m/RIGHT,surface_alpha,RIGHT,15.0,49,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/RIGHT/right_0049_rgb.png
,,,505545,surface_alpha/NORMAL_LOCK/15m/RIGHT,surface_alpha,RIGHT,15.0,50,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/RIGHT/right_0050_rgb.png
,,,505546,surface_alpha/NORMAL_LOCK/15m/RIGHT,surface_alpha,RIGHT,15.0,51,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/RIGHT/right_0051_rgb.png
,,,505547,surface_alpha/NORMAL_LOCK/15m/RIGHT,surface_alpha,RIGHT,15.0,52,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/RIGHT/right_0052_rgb.png
,,,505548,surface_alpha/NORMAL_LOCK/15m/RIGHT,surface_alpha,RIGHT,15.0,53,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/15m/RIGHT/right_0053_rgb.png
,,,505987,surface_beta/NORMAL_LOCK/15m/LEFT,surface_beta,LEFT,15.0,47,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/LEFT/left_0047_rgb.png
,,,505988,surface_beta/NORMAL_LOCK/15m/LEFT,surface_beta,LEFT,15.0,48,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/LEFT/left_0048_rgb.png
,,,505989,surface_beta/NORMAL_LOCK/15m/LEFT,surface_beta,LEFT,15.0,49,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/LEFT/left_0049_rgb.png
,,,505990,surface_beta/NORMAL_LOCK/15m/LEFT,surface_beta,LEFT,15.0,50,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/LEFT/left_0050_rgb.png
,,,505991,surface_beta/NORMAL_LOCK/15m/LEFT,surface_beta,LEFT,15.0,51,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/LEFT/left_0051_rgb.png
,,,505992,surface_beta/NORMAL_LOCK/15m/LEFT,surface_beta,LEFT,15.0,52,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/LEFT/left_0052_rgb.png
,,,505993,surface_beta/NORMAL_LOCK/15m/LEFT,surface_beta,LEFT,15.0,53,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/LEFT/left_0053_rgb.png
,,,506077,surface_beta/NORMAL_LOCK/15m/RIGHT,surface_beta,RIGHT,15.0,48,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/RIGHT/right_0048_rgb.png
,,,506078,surface_beta/NORMAL_LOCK/15m/RIGHT,surface_beta,RIGHT,15.0,49,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/RIGHT/right_0049_rgb.png
,,,506079,surface_beta/NORMAL_LOCK/15m/RIGHT,surface_beta,RIGHT,15.0,50,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/RIGHT/right_0050_rgb.png
,,,506080,surface_beta/NORMAL_LOCK/15m/RIGHT,surface_beta,RIGHT,15.0,51,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/RIGHT/right_0051_rgb.png
,,,506081,surface_beta/NORMAL_LOCK/15m/RIGHT,surface_beta,RIGHT,15.0,52,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/RIGHT/right_0052_rgb.png
