frame_id,sequence_id,surface_id,direction,active_boundary,step_index,offset_m,label,target_pixel_coverage,occlusion_visibility_ratio,boundary_pixel_line,rgb_path
4076003,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,0,-0.0,UNKNOWN,0.6454166666666666,0.6454166666666666,"[[-796.2255898039533, 834.7751972583768], [1435.225589803953, 834.7751972583766]]",surface_omega/NORMAL_LOCK/DOWN/down_0000_rgb.png
4076004,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,1,-1.0,UNKNOWN,0.6250520833333333,0.6250520833333333,"[[-796.2255898039532, 775.7201226071338], [1435.225589803953, 775.7201226071337]]",surface_omega/NORMAL_LOCK/DOWN/down_0001_rgb.png
4076005,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,2,-2.0,UNKNOWN,0.6250520833333333,0.6250520833333333,"[[-796.2255898039532, 716.6650479558912], [1435.225589803953, 716.665047955891]]",surface_omega/NORMAL_LOCK/DOWN/down_0002_rgb.png
4076006,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,3,-3.0,UNKNOWN,0.6453125,0.6453125,"[[-796.2255898039532, 657.6099733046484], [1435.225589803953, 657.6099733046483]]",surface_omega/NORMAL_LOCK/DOWN/down_0003_rgb.png
4076007,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,4,-4.0,UNKNOWN,0.6454166666666666,0.6454166666666666,"[[-796.2255898039532, 598.5548986534056], [1435.225589803953, 598.5548986534055]]",surface_omega/NORMAL_LOCK/DOWN/down_0004_rgb.png
4076008,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,5,-5.0,UNKNOWN,0.6454166666666666,0.6454166666666666,"[[-796.2255898039531, 539.499795842509], [1435.2255898039527, 539.4997958425089]]",surface_omega/NORMAL_LOCK/DOWN/down_0005_rgb.png
4076009,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,6,-6.0,UNKNOWN,0.6250520833333333,0.6250520833333333,"[[-796.2255898039531, 480.4447211912662], [1435.2255898039527, 480.44472119126607]]",surface_omega/NORMAL_LOCK/DOWN/down_0006_rgb.png
4076010,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,7,-7.0,UNKNOWN,0.5819270833333333,0.6587853773584905,"[[-796.2255898039531, 421.3896746996774], [1435.2255898039527, 421.38967469967736]]",surface_omega/NORMAL_LOCK/DOWN/down_0007_rgb.png
4076011,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,8,-8.0,UNKNOWN,0.5397395833333334,0.7117445054945055,"[[-796.2255898039531, 362.33460004843477], [1435.2255898039527, 362.3346000484347]]",surface_omega/NORMAL_LOCK/DOWN/down_0008_rgb.png
4076012,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,BOTTOM,9,-9.0,UNKNOWN,0.4166666666666667,0.6578947368421053,"[[-796.2255898039527, 303.279511317365], [1435.2255898039525, 303.279511317365]]",surface_omega/NORMAL_LOCK/DOWN/down_0009_rgb.png
