frame_id,sequence_id,surface_id,direction,step_index,rgb_path,operator_state,operator_boundary_pixel,operator_notes
4076003,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,0,surface_omega/NORMAL_LOCK/DOWN/down_0000_rgb.png,,,
4076004,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,1,surface_omega/NORMAL_LOCK/DOWN/down_0001_rgb.png,,,
4076005,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,2,surface_omega/NORMAL_LOCK/DOWN/down_0002_rgb.png,,,
4076006,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,3,surface_omega/NORMAL_LOCK/DOWN/down_0003_rgb.png,,,
4076007,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,4,surface_omega/NORMAL_LOCK/DOWN/down_0004_rgb.png,,,
4076008,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,5,surface_omega/NORMAL_LOCK/DOWN/down_0005_rgb.png,,,
4076009,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,6,surface_omega/NORMAL_LOCK/DOWN/down_0006_rgb.png,,,
4076010,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,7,surface_omega/NORMAL_LOCK/DOWN/down_0007_rgb.png,,,
4076011,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,8,surface_omega/NORMAL_LOCK/DOWN/down_0008_rgb.png,,,
4076012,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,9,surface_omega/NORMAL_LOCK/DOWN/down_0009_rgb.png,,,
4076013,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,10,surface_omega/NORMAL_LOCK/DOWN/down_0010_rgb.png,,,
4076014,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,11,surface_omega/NORMAL_LOCK/DOWN/down_0011_rgb.png,,,
4076015,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,12,surface_omega/NORMAL_LOCK/DOWN/down_0012_rgb.png,,,
4076016,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,13,surface_omega/NORMAL_LOCK/DOWN/down_0013_rgb.png,,,
4076017,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,14,surface_omega/NORMAL_LOCK/DOWN/down_0014_rgb.png,,,
4076018,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,15,surface_omega/NORMAL_LOCK/DOWN/down_0015_rgb.png,,,
4076019,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,16,surface_omega/NORMAL_LOCK/DOWN/down_0016_rgb.png,,,
4076020,surface_omega/NORMAL_LOCK/DOWN,surface_omega,DOWN,17,surface_omega/NORMAL_LOCK/DOWN/down_0017_rgb.png,,,
4075194,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,0,surface_omega/NORMAL_LOCK/LEFT/left_0000_rgb.png,,,
4075195,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,1,surface_omega/NORMAL_LOCK/LEFT/left_0001_rgb.png,,,
4075196,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,2,surface_omega/NORMAL_LOCK/LEFT/left_0002_rgb.png,,,
4075197,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,3,surface_omega/NORMAL_LOCK/LEFT/left_0003_rgb.png,,,
4075198,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,4,surface_omega/NORMAL_LOCK/LEFT/left_0004_rgb.png,,,
4075199,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,5,surface_omega/NORMAL_LOCK/LEFT/left_0005_rgb.png,,,
4075200,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,6,surface_omega/NORMAL_LOCK/LEFT/left_0006_rgb.png,,,
4075201,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,7,surface_omega/NORMAL_LOCK/LEFT/left_0007_rgb.png,,,
4075202,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,8,surface_omega/NORMAL_LOCK/LEFT/left_0008_rgb.png,,,
4075203,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,9,surface_omega/NORMAL_LOCK/LEFT/left_0009_rgb.png,,,
4075204,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,10,surface_omega/NORMAL_LOCK/LEFT/left_0010_rgb.png,,,
4075205,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,11,surface_omega/NORMAL_LOCK/LEFT/left_0011_rgb.png,,,
4075206,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,12,surface_omega/NORMAL_LOCK/LEFT/left_0012_rgb.png,,,
4075207,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,13,surface_omega/NORMAL_LOCK/LEFT/left_0013_rgb.png,,,
4075208,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,14,surface_omega/NORMAL_LOCK/LEFT/left_0014_rgb.png,,,
4075209,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,15,surface_omega/NORMAL_LOCK/LEFT/left_0015_rgb.png,,,
4075210,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,16,surface_omega/NORMAL_LOCK/LEFT/left_0016_rgb.png,,,
4075211,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,17,surface_omega/NORMAL_LOCK/LEFT/left_0017_rgb.png,,,
4075212,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,18,surface_omega/NORMAL_LOCK/LEFT/left_0018_rgb.png,,,
4075213,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,19,surface_omega/NORMAL_LOCK/LEFT/left_0019_rgb.png,,,
4075214,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,20,surface_omega/NORMAL_LOCK/LEFT/left_0020_rgb.png,,,
4075215,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,21,surface_omega/NORMAL_LOCK/LEFT/left_0021_rgb.png,,,
4075216,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,22,surface_omega/NORMAL_LOCK/LEFT/left_0022_rgb.png,,,
4075217,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,23,surface_omega/NORMAL_LOCK/LEFT/left_0023_rgb.png,,,
4075218,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,24,surface_omega/NORMAL_LOCK/LEFT/left_0024_rgb.png,,,
4075219,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,25,surface_omega/NORMAL_LOCK/LEFT/left_0025_rgb.png,,,
4075220,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,26,surface_omega/NORMAL_LOCK/LEFT/left_0026_rgb.png,,,
4075221,surface_omega/NORMAL_LOCK/LEFT,surface_omega,LEFT,27,surface_omega/NORMAL_LOCK/LEFT/left_0027_rgb.png,,,
4075508,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,0,surface_omega/NORMAL_LOCK/RIGHT/right_0000_rgb.png,,,
4075509,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,1,surface_omega/NORMAL_LOCK/RIGHT/right_0001_rgb.png,,,
4075510,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,2,surface_omega/NORMAL_LOCK/RIGHT/right_0002_rgb.png,,,
4075511,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,3,surface_omega/NORMAL_LOCK/RIGHT/right_0003_rgb.png,,,
4075512,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,4,surface_omega/NORMAL_LOCK/RIGHT/right_0004_rgb.png,,,
4075513,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,5,surface_omega/NORMAL_LOCK/RIGHT/right_0005_rgb.png,,,
4075514,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,6,surface_omega/NORMAL_LOCK/RIGHT/right_0006_rgb.png,,,
4075515,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,7,surface_omega/NORMAL_LOCK/RIGHT/right_0007_rgb.png,,,
4075516,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,8,surface_omega/NORMAL_LOCK/RIGHT/right_0008_rgb.png,,,
4075517,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,9,surface_omega/NORMAL_LOCK/RIGHT/right_0009_rgb.png,,,
4075518,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,10,surface_omega/NORMAL_LOCK/RIGHT/right_0010_rgb.png,,,
4075519,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,11,surface_omega/NORMAL_LOCK/RIGHT/right_0011_rgb.png,,,
4075520,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,12,surface_omega/NORMAL_LOCK/RIGHT/right_0012_rgb.png,,,
4075521,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,13,surface_omega/NORMAL_LOCK/RIGHT/right_0013_rgb.png,,,
4075522,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,14,surface_omega/NORMAL_LOCK/RIGHT/right_0014_rgb.png,,,
4075523,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,15,surface_omega/NORMAL_LOCK/RIGHT/right_0015_rgb.png,,,
4075524,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,16,surface_omega/NORMAL_LOCK/RIGHT/right_0016_rgb.png,,,
4075525,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,17,surface_omega/NORMAL_LOCK/RIGHT/right_0017_rgb.png,,,
4075526,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,18,surface_omega/NORMAL_LOCK/RIGHT/right_0018_rgb.png,,,
4075527,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,19,surface_omega/NORMAL_LOCK/RIGHT/right_0019_rgb.png,,,
4075528,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,20,surface_omega/NORMAL_LOCK/RIGHT/right_0020_rgb.png,,,
4075529,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,21,surface_omega/NORMAL_LOCK/RIGHT/right_0021_rgb.png,,,
4075530,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,22,surface_omega/NORMAL_LOCK/RIGHT/right_0022_rgb.png,,,
4075531,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,23,surface_omega/NORMAL_LOCK/RIGHT/right_0023_rgb.png,,,
4075532,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,24,surface_omega/NORMAL_LOCK/RIGHT/right_0024_rgb.png,,,
4075533,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,25,surface_omega/NORMAL_LOCK/RIGHT/right_0025_rgb.png,,,
4075534,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,26,surface_omega/NORMAL_LOCK/RIGHT/right_0026_rgb.png,,,
4075535,surface_omega/NORMAL_LOCK/RIGHT,surface_omega,RIGHT,27,surface_omega/NORMAL_LOCK/RIGHT/right_0027_rgb.png,,,
4075826,surface_omega/NORMAL_LOCK/UP,surface_omega,UP,0,surface_omega/NORMAL_LOCK/UP/up_0000_rgb.png,,,
4075827,surface_omega/NORMAL_LOCK/UP,surface_omega,UP,1,surface_omega/NORMAL_LOCK/UP/up_0001_rgb.png,,,
4075828,surface_omega/NORMAL_LOCK/UP,surface_omega,UP,2,surface_omega/NORMAL_LOCK/UP/up_0002_rgb.png,,,
4075829,surface_omega/NORMAL_LOCK/UP,surface_omega,UP,3,surface_omega/NORMAL_LOCK/UP/up_0003_rgb.png,,,
4075830,surface_omega/NORMAL_LOCK/UP,surface_omega,UP,4,surface_omega/NORMAL_LOCK/UP/up_0004_rgb.png,,,
4075831,surface_omega/NORMAL_LOCK/UP,surface_omega,UP,5,surface_omega/NORMAL_LOCK/UP/up_0005_rgb.png,,,
4075832,surface_omega/NORMAL_LOCK/UP,surface_omega,UP,6,surface_omega/NORMAL_LOCK/UP/up_0006_rgb.png,,,
4075833,surface_omega/NORMAL_LOCK/UP,surface_omega,UP,7,surface_omega/NORMAL_LOCK/UP/up_0007_rgb.png,,,
4075834,surface_omega/NORMAL_LOCK/UP,surface_omega,UP,8,surface_omega/NORMAL_LOCK/UP/up_0008_rgb.png,,,
