frame_id,timestamp,pose,surface_id,x,y,z,roll,pitch,yaw,K,building_semantic_tag,target_instance_ids,rgb_path,depth_path,semantic_path,instance_path,rgb_sha256,depth_sha256,semantic_sha256,instance_sha256,agl_m,target_mask_coverage,envelope_coverage,label,failure_reason
4362167,64611.269621910644,CENTER,surface_omega,-94.25432586669922,275.97454833984375,12.002955436706543,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/CENTER/center_00_rgb.png,results/mask0/raw/surface_omega/CENTER/center_00_depth_m.npy,results/mask0/raw/surface_omega/CENTER/center_00_semantic_raw.png,results/mask0/raw/surface_omega/CENTER/center_00_instance_raw.png,3d22d057ef885c6ecbe3b7cb85edccbec07ff14a2a5e31151ddf864a027a3d85,049316fa54f515d22fe35a4b6a2b63d5bc31b8a4e7d003d51b84fa63e3787e90,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,IN,
4362168,64611.31962191139,CENTER,surface_omega,-94.25432586669922,275.97454833984375,12.002955436706543,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/CENTER/center_01_rgb.png,results/mask0/raw/surface_omega/CENTER/center_01_depth_m.npy,results/mask0/raw/surface_omega/CENTER/center_01_semantic_raw.png,results/mask0/raw/surface_omega/CENTER/center_01_instance_raw.png,36659897160e0b1cebb7b4c099c34109404262eb6f7c9974883995d8ebe20c19,049316fa54f515d22fe35a4b6a2b63d5bc31b8a4e7d003d51b84fa63e3787e90,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,IN,
4362169,64611.369621912134,CENTER,surface_omega,-94.25432586669922,275.97454833984375,12.002955436706543,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/CENTER/center_02_rgb.png,results/mask0/raw/surface_omega/CENTER/center_02_depth_m.npy,results/mask0/raw/surface_omega/CENTER/center_02_semantic_raw.png,results/mask0/raw/surface_omega/CENTER/center_02_instance_raw.png,29f695526d57a4f03fa8b0680ff846a0d871c52d7c2ee14683add58b41a1e3b3,049316fa54f515d22fe35a4b6a2b63d5bc31b8a4e7d003d51b84fa63e3787e90,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,IN,
4362177,64611.64976863528,LEFT_NEAR_BOUNDARY,surface_omega,-109.1959228515625,275.97454833984375,12.002955436706543,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_00_rgb.png,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_00_depth_m.npy,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_00_semantic_raw.png,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_00_instance_raw.png,c2839d6feb15fc6ff8c18817b2883b1ac57b41358c731b3b6ffd7f68100abac8,2996910d245d6f9887368c587b10696b6cf4c0dbe958dc3b4ede9878e98d580a,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,UNKNOWN,mask/edge evidence did not meet state criteria
4362178,64611.69976863603,LEFT_NEAR_BOUNDARY,surface_omega,-109.1959228515625,275.97454833984375,12.002955436706543,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_01_rgb.png,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_01_depth_m.npy,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_01_semantic_raw.png,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_01_instance_raw.png,a5da5b5e48e678ecd4b51371cd399f71c5be415bc5311b32d99a77c995283488,2996910d245d6f9887368c587b10696b6cf4c0dbe958dc3b4ede9878e98d580a,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,UNKNOWN,mask/edge evidence did not meet state criteria
4362179,64611.74976863677,LEFT_NEAR_BOUNDARY,surface_omega,-109.1959228515625,275.97454833984375,12.002955436706543,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_02_rgb.png,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_02_depth_m.npy,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_02_semantic_raw.png,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_02_instance_raw.png,3ebd323c0cba9735b7b974d1669a8d8d298781d906c9b0d65e686b9eb108a3ad,2996910d245d6f9887368c587b10696b6cf4c0dbe958dc3b4ede9878e98d580a,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,UNKNOWN,mask/edge evidence did not meet state criteria
4362187,64612.04056775069,RIGHT_NEAR_BOUNDARY,surface_omega,-79.3127212524414,275.97454833984375,12.002955436706543,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_00_rgb.png,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_00_depth_m.npy,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_00_semantic_raw.png,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_00_instance_raw.png,a5ce9c16a8659fe11985fa1e43d9f535fad75d151c9584e14a96c3b7471f7a3b,205e45019a5c27842888203916f7fce14890986f336b6fdfeb8436d2365a9332,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,UNKNOWN,mask/edge evidence did not meet state criteria
4362188,64612.09056775144,RIGHT_NEAR_BOUNDARY,surface_omega,-79.3127212524414,275.97454833984375,12.002955436706543,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_01_rgb.png,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_01_depth_m.npy,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_01_semantic_raw.png,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_01_instance_raw.png,259ed0a4a3128be67fba8896d8feb69510c0b319e0a40dd6bccc5ce9366a7c24,205e45019a5c27842888203916f7fce14890986f336b6fdfeb8436d2365a9332,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,UNKNOWN,mask/edge evidence did not meet state criteria
4362189,64612.14056775218,RIGHT_NEAR_BOUNDARY,surface_omega,-79.3127212524414,275.97454833984375,12.002955436706543,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_02_rgb.png,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_02_depth_m.npy,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_02_semantic_raw.png,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_02_instance_raw.png,4e9781068c0c59f73908bd4beab0db784307fb53036c3cfba81d34e064acec80,205e45019a5c27842888203916f7fce14890986f336b6fdfeb8436d2365a9332,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,UNKNOWN,mask/edge evidence did not meet state criteria
4362197,64612.41923201468,TOP_NEAR_BOUNDARY,surface_omega,-94.25432586669922,275.97454833984375,19.119436264038086,-0.0,1.2722218874358041e-14,-90.0,"[[320.00000000000006, 0.0, 319.5], [0.0, 320.00000000000006, 239.5], [0.0, 0.0, 1.0]]",3,[10040323],results/mask0/raw/surface_omega/TOP_NEAR_BOUNDARY/top_near_boundary_00_rgb.png,results/mask0/raw/surface_omega/TOP_NEAR_BOUNDARY/top_near_boundary_00_depth_m.npy,results/mask0/raw/surface_omega/TOP_NEAR_BOUNDARY/top_near_boundary_00_semantic_raw.png,results/mask0/raw/surface_omega/TOP_NEAR_BOUNDARY/top_near_boundary_00_instance_raw.png,b74146c38d049cbb75f2eb09247b96307c20f06f8021d72c4021ee70ab51504a,f2128810052e46901921f9eaf1d115a44e11aebe9edf22c610c4d66a14641ce6,482de965ec0abedbc86fafef4cc57066a04eab732900d003a4052f95a2d8157c,ac2d5ef85bc2252765b915f28d05e9353594e7794f16655287f6fd47ec05e6c2,,1.0,1.0,UNKNOWN,mask/edge evidence did not meet state criteria
