frame_id,surface_id,pose,repeat_index,rgb_path,operator_state,operator_boundary_pixel,operator_notes
4362167,surface_omega,CENTER,0,results/mask0/raw/surface_omega/CENTER/center_00_rgb.png,,,
4362168,surface_omega,CENTER,1,results/mask0/raw/surface_omega/CENTER/center_01_rgb.png,,,
4362169,surface_omega,CENTER,2,results/mask0/raw/surface_omega/CENTER/center_02_rgb.png,,,
4362177,surface_omega,LEFT_NEAR_BOUNDARY,0,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_00_rgb.png,,,
4362178,surface_omega,LEFT_NEAR_BOUNDARY,1,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_01_rgb.png,,,
4362179,surface_omega,LEFT_NEAR_BOUNDARY,2,results/mask0/raw/surface_omega/LEFT_NEAR_BOUNDARY/left_near_boundary_02_rgb.png,,,
4362187,surface_omega,RIGHT_NEAR_BOUNDARY,0,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_00_rgb.png,,,
4362188,surface_omega,RIGHT_NEAR_BOUNDARY,1,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_01_rgb.png,,,
4362189,surface_omega,RIGHT_NEAR_BOUNDARY,2,results/mask0/raw/surface_omega/RIGHT_NEAR_BOUNDARY/right_near_boundary_02_rgb.png,,,
4362197,surface_omega,TOP_NEAR_BOUNDARY,0,results/mask0/raw/surface_omega/TOP_NEAR_BOUNDARY/top_near_boundary_00_rgb.png,,,
4362198,surface_omega,TOP_NEAR_BOUNDARY,1,results/mask0/raw/surface_omega/TOP_NEAR_BOUNDARY/top_near_boundary_01_rgb.png,,,
4362199,surface_omega,TOP_NEAR_BOUNDARY,2,results/mask0/raw/surface_omega/TOP_NEAR_BOUNDARY/top_near_boundary_02_rgb.png,,,
4362207,surface_omega,BOTTOM_SAFE_VIEW,0,results/mask0/raw/surface_omega/BOTTOM_SAFE_VIEW/bottom_safe_view_00_rgb.png,,,
4362208,surface_omega,BOTTOM_SAFE_VIEW,1,results/mask0/raw/surface_omega/BOTTOM_SAFE_VIEW/bottom_safe_view_01_rgb.png,,,
4362209,surface_omega,BOTTOM_SAFE_VIEW,2,results/mask0/raw/surface_omega/BOTTOM_SAFE_VIEW/bottom_safe_view_02_rgb.png,,,
4362217,surface_sigma,CENTER,0,results/mask0/raw/surface_sigma/CENTER/center_00_rgb.png,,,
4362218,surface_sigma,CENTER,1,results/mask0/raw/surface_sigma/CENTER/center_01_rgb.png,,,
4362219,surface_sigma,CENTER,2,results/mask0/raw/surface_sigma/CENTER/center_02_rgb.png,,,
4362227,surface_sigma,LEFT_NEAR_BOUNDARY,0,results/mask0/raw/surface_sigma/LEFT_NEAR_BOUNDARY/left_near_boundary_00_rgb.png,,,
4362228,surface_sigma,LEFT_NEAR_BOUNDARY,1,results/mask0/raw/surface_sigma/LEFT_NEAR_BOUNDARY/left_near_boundary_01_rgb.png,,,
4362229,surface_sigma,LEFT_NEAR_BOUNDARY,2,results/mask0/raw/surface_sigma/LEFT_NEAR_BOUNDARY/left_near_boundary_02_rgb.png,,,
4362237,surface_sigma,RIGHT_NEAR_BOUNDARY,0,results/mask0/raw/surface_sigma/RIGHT_NEAR_BOUNDARY/right_near_boundary_00_rgb.png,,,
4362238,surface_sigma,RIGHT_NEAR_BOUNDARY,1,results/mask0/raw/surface_sigma/RIGHT_NEAR_BOUNDARY/right_near_boundary_01_rgb.png,,,
4362239,surface_sigma,RIGHT_NEAR_BOUNDARY,2,results/mask0/raw/surface_sigma/RIGHT_NEAR_BOUNDARY/right_near_boundary_02_rgb.png,,,
4362247,surface_sigma,TOP_NEAR_BOUNDARY,0,results/mask0/raw/surface_sigma/TOP_NEAR_BOUNDARY/top_near_boundary_00_rgb.png,,,
4362248,surface_sigma,TOP_NEAR_BOUNDARY,1,results/mask0/raw/surface_sigma/TOP_NEAR_BOUNDARY/top_near_boundary_01_rgb.png,,,
4362249,surface_sigma,TOP_NEAR_BOUNDARY,2,results/mask0/raw/surface_sigma/TOP_NEAR_BOUNDARY/top_near_boundary_02_rgb.png,,,
4362257,surface_sigma,BOTTOM_SAFE_VIEW,0,results/mask0/raw/surface_sigma/BOTTOM_SAFE_VIEW/bottom_safe_view_00_rgb.png,,,
4362258,surface_sigma,BOTTOM_SAFE_VIEW,1,results/mask0/raw/surface_sigma/BOTTOM_SAFE_VIEW/bottom_safe_view_01_rgb.png,,,
4362259,surface_sigma,BOTTOM_SAFE_VIEW,2,results/mask0/raw/surface_sigma/BOTTOM_SAFE_VIEW/bottom_safe_view_02_rgb.png,,,
