frame_id,timestamp,sequence_id,surface_id,direction,distance_m,step_index,offset_m,state,target_coverage,contour_present,contour_span_fraction,contour_centroid_px,target_side_fraction,external_side_fraction,label_reason,rgb_path,overlay_path,target_instance_id_16bit
4719978,72103.79328952718,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,0,-0.0,IN,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0000_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0000.jpg,39249
4719979,72103.84328952793,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,1,-0.5,IN,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0001_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0001.jpg,39249
4719980,72103.89328952867,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,2,-1.0,IN,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0002_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0002.jpg,39249
4719981,72103.94328952942,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,3,-1.5,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0003_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0003.jpg,39249
4719982,72103.99328953016,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,4,-2.0,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0004_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0004.jpg,39249
4719983,72104.0432895309,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,5,-2.5,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0005_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0005.jpg,39249
4719984,72104.09328953165,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,6,-3.0,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0006_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0006.jpg,39249
4719985,72104.1432895324,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,7,-3.5,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0007_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0007.jpg,39249
4719986,72104.19328953314,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,8,-4.0,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0008_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0008.jpg,39249
4719987,72104.24328953389,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,9,-4.5,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0009_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0009.jpg,39249
4719988,72104.29328953463,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,10,-5.0,STRADDLE,0.9846158854166667,True,0.9958333333333333,9.315436241610739,0.9989384920634921,0.9222222222222223,directional exterior contour with both sides observed,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0010_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0010.jpg,39249
4719989,72104.34328953538,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,11,-5.5,STRADDLE,0.9611686197916667,True,0.9958333333333333,24.32046979865772,0.9989126016260162,0.97109375,directional exterior contour with both sides observed,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0011_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0011.jpg,39249
4719990,72104.39328953612,surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,10.0,12,-6.0,STRADDLE,0.95125,True,0.9958333333333333,30.69885433715221,0.9944935581140351,0.8853494623655914,directional exterior contour with both sides observed,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0012_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/LEFT/left_0012.jpg,39249
4720009,72104.91257090436,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,0,0.0,IN,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0000_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0000.jpg,39249
4720010,72104.9625709051,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,1,0.5,IN,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0001_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0001.jpg,39249
4720011,72105.01257090585,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,2,1.0,IN,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0002_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0002.jpg,39249
4720012,72105.0625709066,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,3,1.5,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0003_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0003.jpg,39249
4720013,72105.11257090734,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,4,2.0,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0004_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0004.jpg,39249
4720014,72105.16257090808,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,5,2.5,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0005_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0005.jpg,39249
4720015,72105.21257090883,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,6,3.0,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0006_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0006.jpg,39249
4720016,72105.26257090957,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,7,3.5,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0007_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0007.jpg,39249
4720017,72105.31257091032,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,8,4.0,APPROACH,1.0,False,0.0,,1.0,0.0,no exterior transition contour,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0008_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0008.jpg,39249
4720018,72105.36257091106,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,9,4.5,APPROACH,0.984736328125,True,0.22083333333333333,629.5692307692308,0.9989451058201059,0.9141203703703704,contour does not meet directional side/span criteria,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0009_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0009.jpg,39249
4720019,72105.41257091181,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,10,5.0,STRADDLE,0.96123046875,True,0.9958333333333333,614.7114093959732,0.998919376693767,0.9696180555555556,directional exterior contour with both sides observed,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0010_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0010.jpg,39249
4720020,72105.46257091255,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,11,5.5,STRADDLE,0.93775390625,True,0.9958333333333333,599.6912751677852,0.9988923611111111,0.982051282051282,directional exterior contour with both sides observed,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0011_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0011.jpg,39249
4720021,72105.5125709133,surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,10.0,12,6.0,STRADDLE,0.914306640625,True,0.9958333333333333,584.6862416107383,0.9988639601139601,0.9871527777777778,directional exterior contour with both sides observed,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0012_rgb.png,docs/assets/mask1/overlays/surface_sigma/10m/RIGHT/right_0012.jpg,39249
