sequence_id,frame_id,direction,rgb_path,operator_state,operator_boundary_pixel,notes,record_end
surface_sigma/MASK-1/10m/LEFT,4719978,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0000_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719979,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0001_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719980,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0002_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719981,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0003_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719982,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0004_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719983,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0005_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719984,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0006_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719985,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0007_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719986,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0008_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719987,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0009_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719988,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0010_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719989,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0011_rgb.png,,,,0
surface_sigma/MASK-1/10m/LEFT,4719990,LEFT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0012_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720009,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0000_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720010,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0001_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720011,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0002_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720012,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0003_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720013,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0004_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720014,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0005_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720015,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0006_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720016,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0007_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720017,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0008_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720018,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0009_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720019,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0010_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720020,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0011_rgb.png,,,,0
surface_sigma/MASK-1/10m/RIGHT,4720021,RIGHT,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0012_rgb.png,,,,0
