direction,step_index,offset_m,remaining_steps_to_local_boundary,remaining_distance_m,remaining_steps_to_global_3pct,remaining_steps_to_global_5pct,remaining_steps_to_global_10pct,rgb_path,frame_id
LEFT,0,-0.0,10,5.0,11,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0000_rgb.png,4719978
LEFT,1,-0.5,9,4.5,10,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0001_rgb.png,4719979
LEFT,2,-1.0,8,4.0,9,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0002_rgb.png,4719980
LEFT,3,-1.5,7,3.5,8,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0003_rgb.png,4719981
LEFT,4,-2.0,6,3.0,7,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0004_rgb.png,4719982
LEFT,5,-2.5,5,2.5,6,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0005_rgb.png,4719983
LEFT,6,-3.0,4,2.0,5,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0006_rgb.png,4719984
LEFT,7,-3.5,3,1.5,4,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0007_rgb.png,4719985
LEFT,8,-4.0,2,1.0,3,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0008_rgb.png,4719986
LEFT,9,-4.5,1,0.5,2,,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0009_rgb.png,4719987
RIGHT,0,0.0,10,5.0,10,11,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0000_rgb.png,4720009
RIGHT,1,0.5,9,4.5,9,10,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0001_rgb.png,4720010
RIGHT,2,1.0,8,4.0,8,9,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0002_rgb.png,4720011
RIGHT,3,1.5,7,3.5,7,8,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0003_rgb.png,4720012
RIGHT,4,2.0,6,3.0,6,7,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0004_rgb.png,4720013
RIGHT,5,2.5,5,2.5,5,6,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0005_rgb.png,4720014
RIGHT,6,3.0,4,2.0,4,5,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0006_rgb.png,4720015
RIGHT,7,3.5,3,1.5,3,4,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0007_rgb.png,4720016
RIGHT,8,4.0,2,1.0,2,3,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0008_rgb.png,4720017
RIGHT,9,4.5,1,0.5,1,2,,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0009_rgb.png,4720018
