trajectory_id,direction,step_index,offset_m,target,relative_offset_m,relative_delta_m,history_valid,rgb_path,frame_id
surface_sigma/MASK-1/10m/LEFT,LEFT,0,-0.0,5.0,0.0,0.0,False,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0000_rgb.png,4719978
surface_sigma/MASK-1/10m/LEFT,LEFT,1,-0.5,4.5,0.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0001_rgb.png,4719979
surface_sigma/MASK-1/10m/LEFT,LEFT,2,-1.0,4.0,1.0,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0002_rgb.png,4719980
surface_sigma/MASK-1/10m/LEFT,LEFT,3,-1.5,3.5,1.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0003_rgb.png,4719981
surface_sigma/MASK-1/10m/LEFT,LEFT,4,-2.0,3.0,2.0,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0004_rgb.png,4719982
surface_sigma/MASK-1/10m/LEFT,LEFT,5,-2.5,2.5,2.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0005_rgb.png,4719983
surface_sigma/MASK-1/10m/LEFT,LEFT,6,-3.0,2.0,3.0,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0006_rgb.png,4719984
surface_sigma/MASK-1/10m/LEFT,LEFT,7,-3.5,1.5,3.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0007_rgb.png,4719985
surface_sigma/MASK-1/10m/LEFT,LEFT,8,-4.0,1.0,4.0,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0008_rgb.png,4719986
surface_sigma/MASK-1/10m/LEFT,LEFT,9,-4.5,0.5,4.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/left_0009_rgb.png,4719987
surface_sigma/MASK-1/10m/RIGHT,RIGHT,0,0.0,5.0,0.0,0.0,False,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0000_rgb.png,4720009
surface_sigma/MASK-1/10m/RIGHT,RIGHT,1,0.5,4.5,0.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0001_rgb.png,4720010
surface_sigma/MASK-1/10m/RIGHT,RIGHT,2,1.0,4.0,1.0,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0002_rgb.png,4720011
surface_sigma/MASK-1/10m/RIGHT,RIGHT,3,1.5,3.5,1.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0003_rgb.png,4720012
surface_sigma/MASK-1/10m/RIGHT,RIGHT,4,2.0,3.0,2.0,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0004_rgb.png,4720013
surface_sigma/MASK-1/10m/RIGHT,RIGHT,5,2.5,2.5,2.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0005_rgb.png,4720014
surface_sigma/MASK-1/10m/RIGHT,RIGHT,6,3.0,2.0,3.0,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0006_rgb.png,4720015
surface_sigma/MASK-1/10m/RIGHT,RIGHT,7,3.5,1.5,3.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0007_rgb.png,4720016
surface_sigma/MASK-1/10m/RIGHT,RIGHT,8,4.0,1.0,4.0,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0008_rgb.png,4720017
surface_sigma/MASK-1/10m/RIGHT,RIGHT,9,4.5,0.5,4.5,0.5,True,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/right_0009_rgb.png,4720018
