ablation,scope,sample_count,accuracy,balanced_accuracy,AUROC,Brier,mean_regret_m,accuracy_ci_lower,accuracy_ci_upper
E0,pooled,26,0.3076923076923077,0.3214285714285714,0.2976190476190476,0.27415766052129686,1.0,0.07692307692307693,0.5384615384615384
E0,LEFT_probe,13,0.3076923076923077,0.3214285714285714,0.2976190476190476,0.2741576605212969,1.0,0.07692307692307693,0.5384615384615384
E0,RIGHT_probe,13,0.3076923076923077,0.3214285714285714,0.2976190476190476,0.2741576605212969,1.0,0.07692307692307693,0.5384615384615384
E1,pooled,26,0.8846153846153846,0.8869047619047619,0.9464285714285714,0.09934142985774062,0.17307692307692307,0.7692307692307693,1.0
E1,LEFT_probe,13,0.7692307692307693,0.7738095238095238,0.9047619047619048,0.12674793150720365,0.34615384615384615,0.5384615384615384,1.0
E1,RIGHT_probe,13,1.0,1.0,1.0,0.07193492820827761,0.0,1.0,1.0
E2,pooled,26,0.8846153846153846,0.8869047619047619,0.9761904761904762,0.08306476022635507,0.17307692307692307,0.7307692307692307,1.0
E2,LEFT_probe,13,0.8461538461538461,0.8452380952380952,0.9761904761904762,0.109751579172303,0.19230769230769232,0.6153846153846154,1.0
E2,RIGHT_probe,13,0.9230769230769231,0.9285714285714286,1.0,0.05637794128040718,0.15384615384615385,0.7692307692307693,1.0
E3_SWAP,pooled,26,0.9230769230769231,0.9226190476190477,0.9821428571428571,0.07808870416849088,0.1346153846153846,0.8461538461538461,1.0
E3_SWAP,LEFT_probe,13,0.8461538461538461,0.8452380952380952,0.9523809523809523,0.10510260274587117,0.2692307692307692,0.6153846153846154,1.0
E3_SWAP,RIGHT_probe,13,1.0,1.0,1.0,0.05107480559111061,0.0,1.0,1.0
E4_ZERO,pooled,26,0.46153846153846156,0.5,0.5,0.5384615384615384,0.8076923076923077,0.23076923076923078,0.6923076923076923
E4_ZERO,LEFT_probe,13,0.46153846153846156,0.5,0.5,0.5384615384615384,0.8076923076923077,0.23076923076923078,0.7692307692307693
E4_ZERO,RIGHT_probe,13,0.46153846153846156,0.5,0.5,0.5384615384615384,0.8076923076923077,0.15384615384615385,0.7692307692307693
